	kernel1	kernel2	kernel3	kernel4	kernel5	kernel6	kernel7	stride1	stride2	stride3	stride4	stride5	stride6	stride7	cross-validation-avg-r2
323	6	20	18	34	30	2	24	3	2	3	3	6	4	2	0.5015160059095121
324	16	20	10	4	6	28	22	3	2	2	4	8	7	4	0.5250977267711823
325	38	24	40	26	16	30	40	2	3	3	6	4	7	5	0.5138425253206038
326	18	40	6	24	34	4	22	3	3	3	3	6	7	4	0.5017638119779966
327	30	18	4	6	26	8	32	2	2	2	4	7	6	6	0.5254743776062225
328	38	40	4	20	16	28	20	2	3	5	6	8	3	2	0.5132388920739507
329	38	30	24	38	18	30	24	3	3	2	3	3	2	8	0.49772055947333566
330	34	28	36	30	4	2	22	2	2	3	8	3	7	6	0.5250702881104309
331	22	24	40	16	28	12	4	3	2	4	4	3	8	3	0.5226858687854742
332	32	22	24	10	8	8	34	4	3	2	2	5	7	4	0.491043948934991
333	22	18	14	30	6	16	40	2	2	2	3	7	2	6	0.5247192216292783
334	32	30	22	38	6	4	26	2	3	2	7	6	8	3	0.5139537220883252
335	28	4	26	4	40	20	30	3	2	3	5	7	2	8	0.5031388913910505
336	36	28	12	32	26	36	38	4	3	2	6	5	6	8	0.4983978571600475
337	38	20	38	10	4	14	14	2	2	2	5	2	6	2	0.4871743818394985
338	14	22	14	12	12	20	6	2	2	2	3	3	6	3	0.522383560994522
339	28	22	22	22	24	18	10	3	2	2	3	3	5	6	0.5293104757414164
340	34	16	28	20	28	4	20	2	2	3	5	3	5	2	0.5092734476736438
341	18	18	34	28	6	22	28	2	2	3	7	2	2	7	0.5234935322108307
342	4	34	16	20	30	6	34	3	3	2	4	7	5	4	0.5047435669479915
343	24	24	14	22	22	12	20	2	2	3	8	5	7	8	0.5253930735477648
344	34	8	4	28	36	30	30	2	3	2	8	4	5	3	0.5109476964721065
345	16	38	20	6	26	8	34	6	2	3	4	8	6	7	0.4941413151061109
346	12	26	24	6	26	24	4	4	2	2	6	5	6	5	0.5171480327685356
347	14	24	34	12	34	14	38	4	2	2	7	4	4	7	0.5164272416417615
